id;Season;European.badger;European.hare;European.hedgehog;European.polecat;European.rabbit;Raccoon;Red.fox;Red.squirrel;Roe.deer;Stoat;Stone.marten;Wild.boar;Richness
LabelID_01;OC21;0;0;0;0;0;0;1;1;1;0;1;0;4
LabelID_02;OC21;0;0;0;0;0;0;1;1;0;0;1;0;7
LabelID_08;OC21;0;0;0;0;0;0;0;0;0;0;1;0;5
LabelID_09;OC21;0;0;1;0;1;0;0;1;0;0;1;0;8
LabelID_11;OC21;0;0;0;0;0;0;1;0;1;0;1;1;8
LabelID_12;OC21;0;0;1;0;0;0;0;1;0;0;1;0;7
LabelID_13;OC21;0;1;0;0;0;0;1;1;0;0;0;0;7
LabelID_14;OC21;0;0;1;0;0;0;0;1;0;1;1;0;8
LabelID_17;OC21;0;0;0;0;0;0;1;1;0;0;0;0;6
LabelID_18;OC21;1;0;0;0;1;0;1;1;0;0;1;0;9
LabelID_19;OC21;1;0;0;0;1;0;1;1;1;0;1;0;10
LabelID_20;OC21;1;0;0;0;0;0;1;1;1;0;1;1;10
LabelID_21;OC21;0;0;0;0;0;0;1;0;1;0;0;1;7
LabelID_23;OC21;0;0;1;0;0;0;1;0;0;0;1;0;7
LabelID_25;OC21;0;0;0;0;0;0;1;1;1;0;1;0;8
LabelID_32;OC21;0;0;1;0;1;0;1;1;0;0;0;0;8
LabelID_36;OC21;0;0;1;0;0;0;0;1;0;0;1;0;7
LabelID_27;OC21;0;0;1;0;0;0;1;0;0;0;1;0;7
LabelID_24;OC21;0;0;0;0;1;0;1;0;0;0;1;0;7
LabelID_28;OC21;0;0;1;0;0;0;0;0;0;0;0;0;5
LabelID_26;OC21;0;0;1;0;0;0;1;1;0;0;1;0;8
LabelID_34;OC21;0;0;0;0;0;0;0;0;0;0;0;1;5
LabelID_33;OC21;0;0;1;0;0;0;0;0;0;0;1;0;6
LabelID_29;OC21;1;0;0;0;0;0;0;0;0;0;1;0;6
LabelID_02;JA22;0;0;0;0;0;0;1;1;0;0;0;0;2
LabelID_08;JA22;0;0;0;0;0;0;0;0;0;0;1;0;3
LabelID_09;JA22;0;1;0;0;0;0;0;0;0;0;0;0;3
